;Timestamp;ML;IR;Stat;DB;Gender;Chocolate;Stand up;Rand;Bedtime;Good day (1);Good day (2);Stress level;Program;Day;Month;Year;Neighbours;Money
0;3/27/2019 10:16:11;yes;1;mu;ja;unknown;slim;no;6;23:00;sun;lecture;;AI;;;;3.0;100.0
1;4/1/2019 15:58:21;no;0;mu;ja;male;fat;no;7;3;DM;AI;1;AI;9.0;7.0;1992.0;1.0;0.0
2;4/1/2019 15:59:07;yes;1;unknown;ja;male;neither;unknown;0;0;0;0;100;CS;4.0;8.0;1995.0;0.0;0.0
3;4/1/2019 15:59:30;yes;1;mu;ja;male;fat;no;1,645;0,3;Winning;Food;0;ECONOMETRICS;29.0;9.0;1993.0;2.0;42.0
4;4/1/2019 15:59:58;no;1;mu;ja;male;neither;no;66;20;kiss;love;100;CS;4.0;4.0;212.0;2.0;10.0
5;4/1/2019 16:00:01;yes;1;mu;ja;male;unknown;yes;420;0000;Ganja;Sun;100;AI;31.0;12.0;1994.0;0.0;100.0
6;4/1/2019 16:00:12;yes;0;mu;nee;female;neither;no;739;22:00;chocolate;Sun;80;BIOINFORMATICS;9.0;10.0;1995.0;3.0;100.0
7;4/1/2019 16:00:16;yes;1;mu;ja;male;I have no idea what you are talking about;yes;5;24,3;Stay with my friends;Sun;50;BIOINFORMATICS;22.0;7.0;1996.0;0.0;10.0
8;4/1/2019 16:00:21;no;0;mu;ja;male;neither;no;31;03:30;Done something useful;Had fun;0;CLS;30.0;2.0;1945.0;0.0;0.0
9;4/1/2019 16:00:31;yes;1;mu;nee;male;neither;no;5;02:00;A sunny day;Relax walks;80;AI;22.0;4.0;;3.0;10.0
10;4/1/2019 16:00:52;yes;0;mu;nee;male;neither;no;3851;11;sun;sleep;150;BIOINFORMATICS;10.0;6.0;1991.0;470.0;20.0
11;4/1/2019 16:00:59;no;0;mu;nee;male;fat;no;6;3;Sun;food;20;CS;19.0;4.0;;3.0;0.25
12;4/1/2019 16:00:59;yes;1;mu;nee;male;I have no idea what you are talking about;no;7;0:40;Good sleep;Good breakfast;10;MASTER AI;18.0;3.0;1994.0;3.0;100000000.0
13;4/1/2019 16:01:02;yes;1;mu;ja;male;fat;no;16;2330;Girls;Alcohol;16;BA;2.0;8.0;1996.0;1.0;100.0
14;4/1/2019 16:01:03;yes;1;mu;ja;male;fat;no;314.152;00:00;sun;food;50;BA;1.0;5.0;;2.0;95.0
15;4/1/2019 16:01:04;yes;0;mu;nee;male;neither;no;11;2:00;Work;Good sleep;10;ECONOMETRICS;4.0;4.0;1996.0;11.0;50.0
16;4/1/2019 16:01:04;no;0;mu;nee;male;fat;no;5;5 am;If i went to the gym;Healthy food;0;ECONOMETRICS;3.0;3.0;1994.0;6.0;30.0
17;4/1/2019 16:01:06;yes;1;mu;ja;male;fat;no;17;22;Sun;Football;17;BA;17.0;5.0;1994.0;7.0;30.0
18;4/1/2019 16:01:09;yes;1;mu;ja;male;fat;yes;7;24:00;Sunshine;Good meals;40;BIOINFORMATICS;;;;3.0;50.0
19;4/1/2019 16:01:13;yes;0;mu;ja;female;neither;no;7;23:00;Sun;Good food;20;BA;27.0;12.0;1996.0;1.0;100.0
20;4/1/2019 16:01:13;yes;0;mu;ja;female;fat;no;2;21;Horses;Chocolate;12;BIOINFORMATICS;18.0;10.0;1996.0;2.0;100.0
21;4/1/2019 16:01:13;no;1;mu;nee;female;slim;no;6;01:03;Sun;Nice food;2;AI;21.0;8.0;1995.0;3.0;100.0
22;4/1/2019 16:01:13;no;0;mu;ja;male;fat;no;888;18:00;good news;very good news;63;AI;10.0;6.0;;4.0;0.0
23;4/1/2019 16:01:14;yes;1;mu;ja;female;fat;no;2;00:00;Sunshine;Nice food;0;AI;9.0;8.0;1996.0;1.0;10.0
24;4/1/2019 16:01:15;yes;1;mu;ja;male;neither;no;0251656723;2:30 am;Sun;Relaxing;0;AI;24.0;2.0;1994.0;1.0;100.0
25;4/1/2019 16:01:16;yes;0;mu;nee;male;neither;no;17572857155648217566617584166;01:00;Sea;Weather;98;BIOINFORMATICS;4.0;6.0;;0.0;0.01
26;4/1/2019 16:01:16;yes;0;mu;ja;female;slim;no;6;1 AM;Sunshine;Holiday;20;AI;1.0;1.0;1993.0;5.0;5.0
27;4/1/2019 16:01:17;no;0;mu;nee;female;neither;no;9;23:30;Sunshine;Vacation;10;CS;29.0;3.0;;1.0;0.25
28;4/1/2019 16:01:17;yes;1;mu;ja;female;slim;no;579659987878648768;22:30;Tony chocolonely toffee pretzel donkere melk of peanutbutter Ben and Jerry's ;Cuddling with dogs ;3;BIOINFORMATICS;6.0;11.0;1996.0;2.0;100.0
29;4/1/2019 16:01:17;yes;0;mu;nee;male;I have no idea what you are talking about;no;9;22:00;Sun;Summer;5;BA;11.0;8.0;;2.0;50.0
30;4/1/2019 16:01:18;yes;0;sigma;nee;unknown;neither;no;8;23;Being around friends;Figuring something out;99;MASTERS COMPUATIONAL SCIENCE;15.0;10.0;1990.0;4.0;0.0
31;4/1/2019 16:01:18;yes;1;mu;ja;male;fat;no;2;00:45;Friends;Good Food;22;MA DATA SCIENCE (UVA);3.0;11.0;1991.0;5.0;3.5
32;4/1/2019 16:01:24;yes;0;mu;nee;unknown;neither;no;6546498975632.3202156845312.0124653120;1.30 pm ;weed;lovely people ;0;BIOINFORMATICS;15.0;7.0;1995.0;1.0;10.0
33;4/1/2019 16:01:25;no;0;mu;nee;male;I have no idea what you are talking about;no;9;12;Going for a run;Having sex;40;QUANTITATIVE RISK MANAGEMENT ;4.0;4.0;1988.0;10.0;60.0
34;4/1/2019 16:01:25;yes;1;mu;ja;male;fat;no;9;1:00;Food;Sex;80;QRM;25.0;5.0;1995.0;2.0;1.0
35;4/1/2019 16:01:25;no;0;mu;nee;male;I have no idea what you are talking about;no;5;2;Food;People;60;CS;5.0;12.0;;6.0;5.0
36;4/1/2019 16:01:27;yes;0;mu;nee;female;I have no idea what you are talking about;no;12;01:00;Sun;Food;-10;BIOSB;12.0;12.0;1995.0;2.0;20.0
37;4/1/2019 16:01:28;no;0;mu;nee;male;I have no idea what you are talking about;no;7;01:00;Nice weather;No stress;0;ECONOMETRICS;2.0;5.0;;469.0;100.0
38;4/1/2019 16:01:29;yes;1;mu;ja;female;fat;no;8;21:00;No lectures and work;Food;20;BA;3.0;1.0;;10.0;10.0
39;4/1/2019 16:01:29;no;0;mu;nee;female;slim;no;5;2:00;sunshine;friends;110;AI;13.0;7.0;1995.0;1.0;10.0
40;4/1/2019 16:01:29;no;1;mu;ja;female;fat;no;5,83;01:30;Good conversation;Being with friends ;60;CLS;3.0;12.0;;4.0;0.0
41;4/1/2019 16:01:29;yes;0;mu;ja;male;fat;no;7;1;laughing;smiling;15;BIOINFORMATICS;7.0;4.0;1995.0;5.0;0.21
42;4/1/2019 16:01:29;yes;1;mu;ja;male;neither;no;1;23:30;Gym;Enough sleep;30;BA;23.0;2.0;1997.0;4.0;15.0
43;4/1/2019 16:01:29;yes;1;mu;ja;female;neither;no;46743222;21;sunshine;sports;25;AI;30.0;3.0;1995.0;8.0;60.0
44;4/1/2019 16:01:29;no;0;mu;nee;male;I have no idea what you are talking about;no;3;22:30;Food;Sunshine;33;CS;9.0;3.0;1994.0;4.0;0.2
45;4/1/2019 16:01:29;yes;1;mu;nee;male;neither;no;6483920484627;3:00;Vim;Emacs;10;CS;27.0;4.0;1994.0;4.0;100.0
46;4/1/2019 16:01:30;yes;0;mu;nee;male;neither;no;4;01:00;A lot of sleep;Coffee;Over 9000;BIOINFORMATICS;11.0;5.0;1996.0;0.0;1.0
47;4/1/2019 16:01:31;yes;0;mu;nee;male;neither;no;3,14;23:00;Enough sleep;Sunshine;50;UVA MSC INFORMATION STUDIES: DATA SCIENCE;13.0;9.0;1995.0;6.0;85.0
48;4/1/2019 16:01:31;no;0;sigma;nee;male;neither;no;3;11;Sport;Food;15;CS;23.0;1.0;1994.0;3.0;3.0
49;4/1/2019 16:01:31;yes;1;mu;ja;male;unknown;no;777777777;1:00;Food;Sex;-50;MSCS;;;;3.0;0.21
50;4/1/2019 16:01:31;yes;1;mu;ja;male;neither;no;5587458772588865;I didnt;Sun;Food;Ten;M AI;;;;3.0;100.0
51;4/1/2019 16:01:33;yes;1;mu;ja;male;neither;no;8,5;02:40;The weather;Amount of work needed to be done;0;AI;19.0;12.0;1995.0;1.0;15.0
52;4/1/2019 16:01:33;yes;1;sigma;ja;female;neither;no;7;1 am;Travel;Party;20;CS;4.0;12.0;1993.0;7.0;90.0
53;4/1/2019 16:01:33;yes;0;mu;ja;female;fat;no;1212;12:30;Friends & family;Sports;30;AI;12.0;12.0;1995.0;6.0;5.0
54;4/1/2019 16:01:34;no;0;mu;nee;male;I have no idea what you are talking about;no;27;01:00;Weather;Good food;99,9;ECONOMETRICS;23.0;8.0;1992.0;3921.0;91.0
55;4/1/2019 16:01:34;no;0;mu;nee;male;fat;unknown;4. 83636354;2,03;Good food;Warm weather;30;EOR;4.0;4.0;1996.0;0.0;2.0
56;4/1/2019 16:01:34;no;0;mu;nee;male;fat;no;9;23:00;Sun;Food;69;MASTER DIGITAL BUSINESS AND INNOVATION;22.0;7.0;1995.0;2.0;33.33
57;4/1/2019 16:01:34;yes;0;mu;ja;male;neither;no;69;23:30;Sun;Good food;10;CS;11.0;2.0;1996.0;2.0;100.0
58;4/1/2019 16:01:34;yes;0;mu;ja;male;I have no idea what you are talking about;no;7;24;A nice meal;Sleep late;0;BA;26.0;5.0;1997.0;7.0;100.0
59;4/1/2019 16:01:35;yes;0;sigma;nee;male;I have no idea what you are talking about;no;6;23:30;Activities;People;20;AI;2.0;12.0;1992.0;1.0;0.4
60;4/1/2019 16:01:35;yes;1;mu;ja;male;fat;no;3,14159265359;4:25AM;Surprise money;Surprise presents;99;CS;14.0;4.0;;4.0;50.0
61;4/1/2019 16:01:35;yes;1;mu;ja;male;I have no idea what you are talking about;no;7;1;No hangover;Sleep;15;AI;13.0;5.0;;2.0;0.21
62;4/1/2019 16:01:36;yes;0;mu;nee;female;fat;no;8;23:00;Working out;Meeting with friends;10;MEDICAL INFORMATICS;18.0;11.0;1995.0;2.0;10.0
63;4/1/2019 16:01:36;unknown;0;mu;nee;female;slim;no;3;2:30;Sun;Vacation;100;BA;27.0;6.0;1991.0;1.0;100.0
64;4/1/2019 16:01:36;no;0;mu;ja;female;I have no idea what you are talking about;no;7;23:30;playing volleyball;sleeping and playing more volleyball;20;BIOINFORMATICS;25.0;2.0;1993.0;5.0;20.0
65;4/1/2019 16:01:36;yes;1;mu;ja;male;fat;no;7;3:00;Good weather;Meeting my friends;7;AI;30.0;1.0;1996.0;1.0;10.0
66;4/1/2019 16:01:36;yes;1;mu;ja;male;unknown;no;1;23:30;No lectures;Waking up early;0;CS;5.0;2.0;1986.0;3.0;50.0
